name	family	score	student_quality	baseline_quality	max_share_skew	share_balance_ratio	worst_group	worst_group_severity	note
case_184	two_group_stagger_no_block	1.348474	0.226974	0.168319	4.405797	2.735227	high_stagger	1.914942	ratio=8, low_count=10, high_count=2
case_074	sleepy_reactivation	1.352693	0.448592	0.331629	2.229196	2.093308	sleeper	1.489975	steady_w=1, sleeper_w=6
case_196	many_group_microburst	1.400118	0.776489	0.554588	1.287849	1.314342	g2	1.184460	groups=4
case_182	phase_churn	1.413919	0.528164	0.373546	1.893352	3.143893	join_c	1.864990	t1=260, t2=900
case_026	sleepy_reactivation	1.420643	0.689936	0.485650	1.449410	1.500155	sleeper	1.282107	steady_w=2, sleeper_w=5
case_116	many_group_microburst	1.424040	0.409088	0.287273	2.444460	3.392067	g4	2.286979	groups=5
case_173	parallelism_mismatch	1.438178	0.341270	0.237293	2.930233	1.821522	scarce_heavy	1.505194	ratio=6, high_count=3, low_count=60
case_108	many_group_microburst	1.438338	0.578462	0.402174	1.728722	2.240592	g1	1.523634	groups=3
case_149	parallelism_mismatch	1.443509	0.493756	0.342052	2.025293	1.729410	scarce_heavy	1.494317	ratio=6, high_count=3, low_count=60
case_193	inverse_stagger_no_block	1.452258	0.797900	0.549421	1.253289	1.364785	low_wave	1.179637	ratio=5, high_count=4, low_count=24
case_097	inverse_stagger_no_block	1.461555	0.777901	0.532242	1.285510	1.367477	low_wave	1.186100	ratio=5, high_count=4, low_count=24
case_016	two_group_stagger_no_block	1.462279	0.435162	0.297592	2.297996	3.719790	high_stagger	2.225536	ratio=4, low_count=10, high_count=2
case_156	many_group_microburst	1.470380	0.622749	0.423529	1.605783	2.363230	g1	1.589274	groups=3
case_049	inverse_stagger_no_block	1.486928	1.000000	0.672527	1.000000	1.422265	high_anchor	1.221686	ratio=5, high_count=4, low_count=24
case_014	phase_churn	1.498601	0.315619	0.210609	3.168375	3.516428	join_c	1.945756	t1=260, t2=1220
case_192	two_group_stagger_no_block	1.498730	0.336648	0.224622	2.970464	4.076081	high_stagger	2.990198	ratio=5, low_count=8, high_count=2
case_092	many_group_microburst	1.513621	0.498444	0.329306	2.006242	2.734663	g1	1.741550	groups=5
case_027	device_wakeup	1.514860	0.371745	0.245399	2.690018	5.172324	cpu_anchor	3.637676	io_parallel=4
case_009	inverse_stagger_no_block	1.520425	0.784515	0.515984	1.274672	1.712258	low_wave	1.362530	ratio=5, high_count=3, low_count=15
case_033	inverse_stagger_no_block	1.522863	0.743243	0.488056	1.345455	1.654361	low_wave	1.368078	ratio=5, high_count=3, low_count=15
case_154	sleepy_reactivation	1.526001	0.671441	0.440000	1.489335	1.476169	steady	1.268501	steady_w=1, sleeper_w=6
case_138	sleepy_reactivation	1.543640	0.777143	0.503448	1.286765	1.219195	sleeper	1.160181	steady_w=4, sleeper_w=1
case_073	inverse_stagger_no_block	1.557167	0.824540	0.529513	1.212798	1.386343	low_wave	1.179637	ratio=5, high_count=4, low_count=24
case_125	parallelism_mismatch	1.562797	0.534558	0.342052	1.870703	1.716396	scarce_heavy	1.493877	ratio=6, high_count=3, low_count=60
case_153	inverse_stagger_no_block	1.564155	0.651399	0.416455	1.535156	1.720735	low_wave	1.421320	ratio=5, high_count=3, low_count=15
case_114	sleepy_reactivation	1.579993	0.325581	0.206065	3.071429	2.623340	sleeper	1.973266	steady_w=1, sleeper_w=6
case_000	two_group_stagger_no_block	1.600000	1.000000	0.625000	1.000000	2.516340	high_stagger	1.941175	ratio=3, low_count=8, high_count=2
case_051	device_wakeup	1.605819	0.583227	0.363196	1.714598	2.314787	cpu_anchor	1.714694	io_parallel=4
case_133	parallelism_mismatch	1.617931	0.297240	0.183716	3.364286	5.944712	scarce_heavy	3.066074	ratio=6, high_count=2, low_count=32
case_163	device_wakeup	1.617980	0.520530	0.321716	1.921120	3.330327	cpu_anchor	2.065349	io_parallel=4
case_106	sleepy_reactivation	1.632850	0.789969	0.483797	1.265873	1.343341	steady	1.171671	steady_w=2, sleeper_w=5
case_061	parallelism_mismatch	1.634644	0.300310	0.183716	3.329887	11.610737	abundant_light	3.714375	ratio=6, high_count=2, low_count=32
case_037	parallelism_mismatch	1.638327	0.300987	0.183716	3.322403	7.417703	scarce_heavy	3.079462	ratio=6, high_count=2, low_count=32
case_045	parallelism_mismatch	1.641472	0.307953	0.187608	3.247253	14.591810	abundant_light	4.357977	ratio=6, high_count=1, low_count=12
case_129	inverse_stagger_no_block	1.644331	0.750797	0.456597	1.331918	1.671537	low_wave	1.362530	ratio=5, high_count=3, low_count=15
case_157	parallelism_mismatch	1.658132	0.304626	0.183716	3.282719	9.137411	scarce_heavy	3.091267	ratio=6, high_count=2, low_count=32
case_194	sleepy_reactivation	1.715762	0.520572	0.303406	1.920965	1.960705	sleeper	1.499669	steady_w=1, sleeper_w=6
case_164	many_group_microburst	1.730473	0.300750	0.173796	3.325025	5.880247	g3	3.374338	groups=5
case_043	device_wakeup	1.754092	0.565836	0.322581	1.767296	2.388128	cpu_anchor	1.581956	io_parallel=4
case_077	parallelism_mismatch	1.766667	0.700000	0.396226	1.428571	1.585124	scarce_heavy	1.461640	ratio=6, high_count=3, low_count=60
case_197	parallelism_mismatch	1.776978	0.654676	0.368421	1.527473	1.630553	scarce_heavy	1.477325	ratio=6, high_count=3, low_count=60
case_008	two_group_stagger_no_block	1.832709	0.319463	0.174312	3.130252	3.711650	high_stagger	2.295800	ratio=6, low_count=12, high_count=2
case_005	parallelism_mismatch	1.846075	0.631454	0.342052	1.583646	1.688542	scarce_heavy	1.489611	ratio=6, high_count=3, low_count=60
case_010	sleepy_reactivation	1.846529	0.689884	0.373611	1.449519	1.281417	steady	1.132432	steady_w=1, sleeper_w=3
case_134	phase_churn	1.847349	0.369030	0.199762	2.709807	3.198718	join_c	1.830325	t1=370, t2=1330
case_029	parallelism_mismatch	1.849580	0.632653	0.342052	1.580645	1.696241	scarce_heavy	1.494433	ratio=6, high_count=3, low_count=60
case_034	sleepy_reactivation	1.858996	0.472582	0.254214	2.116034	2.143675	sleeper	1.475120	steady_w=1, sleeper_w=6
case_176	two_group_stagger_no_block	1.872033	0.471572	0.251904	2.120566	3.735403	high_stagger	2.302800	ratio=4, low_count=12, high_count=2
case_120	two_group_stagger_no_block	1.875000	1.000000	0.533333	1.000000	4.246828	high_stagger	2.792649	ratio=3, low_count=8, high_count=2
case_160	two_group_stagger_no_block	1.897963	0.417135	0.219780	2.397306	3.299907	high_stagger	2.406779	ratio=3, low_count=10, high_count=2
case_140	many_group_microburst	1.898404	0.418675	0.220541	2.388485	3.840814	g3	2.182281	groups=5
case_101	parallelism_mismatch	1.915845	0.655319	0.342052	1.525974	1.664635	scarce_heavy	1.483532	ratio=6, high_count=3, low_count=60
case_100	many_group_microburst	1.931163	0.597741	0.309524	1.672965	2.758484	g1	1.687539	groups=4
case_171	device_wakeup	1.954228	0.481337	0.246305	2.077546	2.864671	cpu_anchor	2.074928	io_parallel=4
case_019	device_wakeup	1.954427	0.413879	0.211765	2.416168	4.069293	cpu_anchor	2.642022	io_parallel=4
case_174	phase_churn	1.975336	0.284234	0.143891	3.518229	2.113245	join_d	1.855419	t1=920, t2=1880
case_169	inverse_stagger_no_block	2.039086	1.000000	0.490416	1.000000	1.419154	high_anchor	1.203042	ratio=5, high_count=4, low_count=24
case_104	two_group_stagger_no_block	2.065965	0.226974	0.109863	4.405797	3.408340	high_stagger	2.621431	ratio=8, low_count=12, high_count=2
case_054	phase_churn	2.077020	0.252525	0.121581	3.960000	2.626717	join_d	2.131832	t1=810, t2=1770
